AYEAR,UNIV_PROVINCE_NAME,U_G,UNIV_TYPE_NAME,UNIV_NAME_TH,FAC_NAME,PROGRAM_NAME,LEV_NAME_TH,GENDER_NAME,AMOUNT
2567,กรุงเทพมหานคร,สถานศึกษานอกสังกัดฯ,สถานศึกษานอกสังกัดฯ,วิทยาลัยพยาบาลบรมราชชนนี นพรัตน์วชิระ,คณะพยาบาลศาสตร์,พยาบาลศาสตร์,ปริญญาตรี,ชาย,2
2567,กรุงเทพมหานคร,สถานศึกษานอกสังกัดฯ,สถานศึกษานอกสังกัดฯ,วิทยาลัยพยาบาลบรมราชชนนี นพรัตน์วชิระ,คณะพยาบาลศาสตร์,พยาบาลศาสตร์,ปริญญาตรี,หญิง,74
2567,กรุงเทพมหานคร,สถานศึกษานอกสังกัดฯ,สถานศึกษานอกสังกัดฯ,วิทยาลัยแพทยศาสตร์พระมงกุฎเกล้า,วิทยาลัยแพทยศาสตร์,แพทยศาสตร์,ปริญญาตรี,ชาย,47
2567,กรุงเทพมหานคร,สถานศึกษานอกสังกัดฯ,สถานศึกษานอกสังกัดฯ,วิทยาลัยแพทยศาสตร์พระมงกุฎเกล้า,วิทยาลัยแพทยศาสตร์,แพทยศาสตร์,ปริญญาตรี,หญิง,34
2567,กรุงเทพมหานคร,สถานศึกษานอกสังกัดฯ,สถานศึกษานอกสังกัดฯ,สถาบันการบินพลเรือน,สำนักวิชาการ,การขนส่งสินค้าทางอากาศ,ปริญญาตรี,ชาย,10
2567,กรุงเทพมหานคร,สถานศึกษานอกสังกัดฯ,สถานศึกษานอกสังกัดฯ,สถาบันการบินพลเรือน,สำนักวิชาการ,การขนส่งสินค้าทางอากาศ,ปริญญาตรี,หญิง,30
2567,กรุงเทพมหานคร,สถานศึกษานอกสังกัดฯ,สถานศึกษานอกสังกัดฯ,สถาบันการบินพลเรือน,สำนักวิชาการ,การจัดการการบิน,ปริญญาโท,ชาย,1
2567,กรุงเทพมหานคร,สถานศึกษานอกสังกัดฯ,สถานศึกษานอกสังกัดฯ,สถาบันการบินพลเรือน,สำนักวิชาการ,การจัดการการบิน,ปริญญาโท,หญิง,7
2567,กรุงเทพมหานคร,สถานศึกษานอกสังกัดฯ,สถานศึกษานอกสังกัดฯ,สถาบันการบินพลเรือน,สำนักวิชาการ,การจัดการเทคโนโลยีการบิน,ปริญญาตรี,ชาย,24
2567,กรุงเทพมหานคร,สถานศึกษานอกสังกัดฯ,สถานศึกษานอกสังกัดฯ,สถาบันการบินพลเรือน,สำนักวิชาการ,การจัดการเทคโนโลยีการบิน,ปริญญาตรี,หญิง,31
