CURR_ID,CURR_NAME,CURR_NAME_EN,UNIV_NAME_TH,LEV_NAME_TH,COST_PER_YEAR
25490081105998,หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาประวัติศาสตร์ศิลปะ,Bachelor of Arts Program in Art History,มหาวิทยาลัยศิลปากร,ปริญญาตรี,112587
25460081101337,หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาโบราณคดี,Bachelor of Arts Program in Archaeology,มหาวิทยาลัยศิลปากร,ปริญญาตรี,142531
25360081100392,หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาภาษาอังกฤษ,Bachelor of Arts Program in English,มหาวิทยาลัยศิลปากร,ปริญญาตรี,36000
25551811100891,หลักสูตรแพทยศาสตรบัณฑิต,Doctor of Medicine Program,มหาวิทยาลัยสยาม,ปริญญาตรี,590000
25570271100295,หลักสูตรการแพทย์แผนจีนบัณฑิต,Bachelor of Traditional Chinese Medicine Program,มหาวิทยาลัยพะเยา,ปริญญาตรี,140000
25510271109671,หลักสูตรการแพทย์แผนไทยประยุกต์บัณฑิต,Bachelor of Applied Thai Traditional Medicine Program,มหาวิทยาลัยพะเยา,ปริญญาตรี,56000
25551811100891,หลักสูตรแพทยศาสตรบัณฑิต,Doctor of Medicine Program,มหาวิทยาลัยสยาม,ปริญญาตรี,620000
25470271104377,หลักสูตรสาธารณสุขศาสตรมหาบัณฑิต,Master of Public Health Program,มหาวิทยาลัยพะเยา,ปริญญาโท,40000
25530271102631,หลักสูตรสาธารณสุขศาสตรบัณฑิต สาขาวิชาอนามัยชุมชน,Bachelor of Public Health Program in Community Health,มหาวิทยาลัยพะเยา,ปริญญาตรี,36000
25550271101081,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาการส่งเสริมสุขภาพ,Bachelor of Science Program in Health Promotion,มหาวิทยาลัยพะเยา,ปริญญาตรี,36000
25510271104629,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาอาชีวอนามัยและความปลอดภัย,Bachelor of Science Program in Occupational Health and Safety,มหาวิทยาลัยพะเยา,ปริญญาตรี,36000
25490081106009,หลักสูตรดุริยางคศาสตรบัณฑิต สาขาวิชาการแสดงดนตรี,Bachelor of Music Program in Performance,มหาวิทยาลัยศิลปากร,ปริญญาตรี,111350
25440081100569,หลักสูตรดุริยางคศาสตรบัณฑิต สาขาวิชาดนตรีแจ๊ส,Bachelor of Music Program in Jazz Studies,มหาวิทยาลัยศิลปากร,ปริญญาตรี,113850
25481691101485,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาการจัดการอุตสาหกรรม,Bachelor of Science Program in Industrial Management,มหาวิทยาลัยราชภัฏอุดรธานี,ปริญญาตรี,21000
25481691103779,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาสัตวศาสตร์,Bachelor of Science Program in Animal Science,มหาวิทยาลัยราชภัฏอุดรธานี,ปริญญาตรี,21000
25530141104965,หลักสูตรวิทยาศาสตรมหาบัณฑิต สาขาวิชาระบบสารสนเทศทางธุรกิจดิจิทัล,Master of Science Program in Digital Business Information System,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,ปริญญาโท,75558
